title,category,mediaType,duration,scriptureRef,description,prayerLine,ctaPrimary,thumbnailText,thumbnailPrompt,dailyDate,publishAt,status,featured,theme,weekTheme,imageUrl,thumbnailUrl,videoUrl,audioUrl,downloadUrl,mediaUrl
Dominion Begins with Belonging,daily-devotional,video,2:00,Romans 8:15-17,"Real authority starts with security, not striving. When you know you belong, you stop performing and start living steady under pressure. Today, let your identity be your anchor.","Father, anchor me in belonging and teach me to live from Your love, not from pressure.",Pray,Belonging First,"Bold, youth-friendly 9:16 thumbnail. High-contrast. Text: 'Belonging First'. Background: warm gradient with subtle light rays. Minimal, modern, confident.",2026-01-19,2026-01-19T05:00:00,scheduled,True,DOMINION,Week 1: Identity & Belonging,,,,,,
"Seated, Not Shaken",daily-devotional,video,2:10,Ephesians 2:4-6,"Dominion is perspective before it is performance. When life feels loud, remember you’re not beneath fear—you’re invited into a higher view. Calm begins when you stop fighting from the ground.","Jesus, lift my perspective and settle my heart in Your victory today.",Pray,Not Shaken,"9:16 thumbnail, clean and modern. Text: 'Not Shaken'. Background: elevated skyline/above-clouds feel, minimal shapes, confident tone.",2026-01-20,2026-01-20T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Chosen for Influence,daily-devotional,video,1:55,1 Peter 2:9,"You were made to bring light, not just survive the day. Dominion looks like quiet confidence, integrity, and courage that changes atmospheres. One small act of faith can open a door for someone else.","Lord, let my life bring light and hope to the people around me.",Go,Chosen,"9:16 thumbnail. Text: 'Chosen'. Background: bright focal light behind a silhouette walking forward; hopeful, bold, minimal.",2026-01-21,2026-01-21T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Testimony: From Pressure to Peace,testimony,video,3:15,John 14:27,"This is a real story of calm arriving in the middle of pressure. If you’ve been carrying stress, let this remind you that peace is possible—and you don’t have to do it alone.","Jesus, meet me in my pressure and give me peace that holds.",Pray,Peace Found Me,"9:16 thumbnail. Text: 'Peace Found Me'. Background: calming tones, soft glow, subtle texture, modern typography.",2026-01-22,2026-01-22T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Dominion Through Love,daily-devotional,video,2:05,1 John 4:18-19,"Fear shrinks you; love strengthens you. Dominion is not control—it’s being steady enough to choose love in real situations. Today, receive love first, then give it away.","Father, fill me with Your love until fear loses its voice in my life.",Pray,Love > Fear,"9:16 thumbnail. Text: 'Love > Fear'. Background: bold contrasting colors, heart/light motif, modern minimal style.",2026-01-23,2026-01-23T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Beloved Before You Build,daily-devotional,video,2:00,Luke 3:21-22,"Before Jesus did anything public, He heard ‘beloved.’ Your order matters too. Dominion grows when your worth is settled before your work begins.","Father, remind me I’m beloved—secure me before I serve.",Pray,Beloved First,"9:16 thumbnail. Text: 'Beloved First'. Background: soft light halo, modern clean look, reassuring tone.",2026-01-24,2026-01-24T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Worship Clip: Make Room,worship,video,1:00,Psalm 22:3,"Worship is more than a moment—it’s re-centering. Take one minute to breathe, lift your focus, and make room for God to lead your week.","Lord, be at the centre of my heart and my week.",Pray,Make Room,"9:16 thumbnail. Text: 'Make Room'. Background: abstract stage lights, minimal, energetic yet calm.",2026-01-25,2026-01-25T05:00:00,scheduled,False,DOMINION,Week 1: Identity & Belonging,,,,,,
Secret Place Strength,daily-devotional,video,2:20,Matthew 6:6,"Private moments shape public strength. Dominion grows when your inner world is led by peace, not noise. Today, choose the secret place—even if it’s only two minutes.","Father, meet me in quiet and shape my day from Your presence.",Pray,Secret Strength,"9:16 thumbnail. Text: 'Secret Strength'. Background: quiet room silhouette, soft contrast, modern typography.",2026-01-26,2026-01-26T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Abide and Breathe,daily-devotional,video,2:10,John 15:4-5,"Dominion isn’t hustle; it’s connection. When you stay rooted, you don’t run dry. Today, slow down, breathe, and reattach your heart to what gives life.","Jesus, teach me to abide—make my life fruitful without striving.",Pray,Stay Rooted,"9:16 thumbnail. Text: 'Stay Rooted'. Background: subtle vine/roots motif, minimal, clean, confident.",2026-01-27,2026-01-27T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Wisdom for Decisions,daily-devotional,video,2:05,James 1:5,"You don’t have to guess your way through life. Ask for wisdom with confidence, then take the next right step. Dominion looks like choosing well, not rushing.","God, give me wisdom for the decisions in front of me today.",Pray,Ask for Wisdom,"9:16 thumbnail. Text: 'Ask for Wisdom'. Background: clean lines, compass/route icon, modern.",2026-01-28,2026-01-28T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Testimony: God Met Me in Prayer,testimony,video,3:05,Jeremiah 29:12-13,"This story starts with a simple, honest prayer—and ends with real change. If you’ve felt distant, this is your reminder: seeking is worth it.","Father, draw me into real prayer and let me find You deeply.",Pray,He Answered,"9:16 thumbnail. Text: 'He Answered'. Background: sunrise/hope imagery, modern, bold.",2026-01-29,2026-01-29T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Pray for Your World,daily-devotional,video,1:50,1 Timothy 2:1,"Dominion begins when you stop only reacting and start praying intentionally. Choose three people in your world and bless them today—quietly, sincerely, consistently.","Lord, I lift up my friends and my community—move with mercy and power.",Pray,Pray for 3,"9:16 thumbnail. Text: 'Pray for 3'. Background: three simple icons/dots, clean, modern.",2026-01-30,2026-01-30T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Authority with Humility,daily-devotional,video,2:10,Mark 10:42-45,"Biblical dominion never looks like domination. It looks like serving, listening, and leading with love. Today, choose humility—and watch influence grow the right way.","Jesus, shape my leadership into humility—make me a servant-hearted person.",Go,Lead Like Jesus,"9:16 thumbnail. Text: 'Lead Like Jesus'. Background: minimal crown + towel icon, clean and bold.",2026-01-31,2026-01-31T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Worship Clip: Still My Soul,worship,video,1:00,Psalm 46:10,"Sometimes dominion is the courage to pause. Take one minute to breathe, be still, and let peace settle inside you.","Lord, still my soul and steady my thoughts.",Pray,Be Still,"9:16 thumbnail. Text: 'Be Still'. Background: calm waves or gradient, minimal, soothing.",2026-02-01,2026-02-01T05:00:00,scheduled,False,DOMINION,Week 2: Prayer & Presence,,,,,,
Peace That Guards You,daily-devotional,video,2:25,Philippians 4:6-7,"Peace isn’t pretending everything is fine—it’s protection for your inner life. Trade worry for prayer, and let calm take its rightful place. Dominion includes peace over the mind.","God, I give You my anxiety—guard my heart and mind with Your peace.",Pray,Peace Can Guard,"9:16 thumbnail. Text: 'Peace Can Guard'. Background: shield outline with soft glow, modern.",2026-02-02,2026-02-02T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
Cast the Weight,daily-devotional,video,1:55,1 Peter 5:7,"You weren’t built to carry everything alone. Dominion looks like releasing burdens quickly, not rehearsing them endlessly. Drop the weight—again and again, if you need to.","Father, I release my burdens to You—teach me to trust Your care.",Pray,Drop the Weight,"9:16 thumbnail. Text: 'Drop the Weight'. Background: minimal weight/stone icon falling, strong contrast.",2026-02-03,2026-02-03T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
Renew Your Mind,daily-devotional,video,2:15,Romans 12:2,"Dominion is won in thought patterns. One true sentence believed can change an entire day. Today, replace the lie you keep replaying with a truth that builds you.","Holy Spirit, renew my mind with truth and establish peace in me today.",Pray,Renew Your Mind,"9:16 thumbnail. Text: 'Renew Your Mind'. Background: abstract brain/lines, modern tech feel, calm.",2026-02-04,2026-02-04T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
Testimony: Peace That Didn’t Make Sense,testimony,video,3:20,John 14:27,"This is a story of peace arriving when circumstances didn’t change yet. If you’re waiting for life to calm down before you feel okay, let this remind you: peace can meet you now.","Jesus, give me Your peace—peace the world cannot give or take away.",Pray,Peace Arrived,"9:16 thumbnail. Text: 'Peace Arrived'. Background: calm glow over a stormy texture, modern.",2026-02-05,2026-02-05T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
Grace for Today,daily-devotional,video,2:05,Matthew 6:33-34,"Tomorrow will ask its questions—today has enough grace. Dominion over worry is choosing presence over panic. Seek what matters most, and trust that you’ll be carried through.","Father, help me focus on today and trust You with tomorrow.",Pray,Grace Today,"9:16 thumbnail. Text: 'Grace Today'. Background: sunrise gradient, minimal, hopeful.",2026-02-06,2026-02-06T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
Strength in Weakness,daily-devotional,video,2:10,2 Corinthians 12:9,"Dominion is not pretending you’re strong—it’s receiving strength where you’re not. When you admit weakness, grace meets you. Today, bring your need honestly.","Jesus, I receive Your grace—be strong in me where I feel weak.",Pray,Grace Is Power,"9:16 thumbnail. Text: 'Grace Is Power'. Background: bold type + subtle lightning/energy motif, clean.",2026-02-07,2026-02-07T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
"Worship Clip: Peace, Be Still",worship,video,1:00,Mark 4:39,"Take one minute to let peace lead again. Breathe, worship, and allow calm to settle over your mind and body.","Lord, speak peace over me—calm the storm within.",Pray,"Peace, Be Still","9:16 thumbnail. Text: 'Peace, Be Still'. Background: calm ocean or smooth gradient, minimal.",2026-02-08,2026-02-08T05:00:00,scheduled,False,DOMINION,Week 3: Peace & Anxiety,,,,,,
You Are Sent,daily-devotional,video,2:05,John 20:21,"Dominion becomes real when it turns outward. You’re not here by accident—your everyday spaces are places of purpose. Today, take one small step toward someone else.","Jesus, send me today with love, courage, and the right words.",Go,You Are Sent,"9:16 thumbnail. Text: 'You Are Sent'. Background: forward arrow/road motif, bold and clean.",2026-02-09,2026-02-09T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Courage to Speak,daily-devotional,video,1:55,Acts 4:29-31,"Boldness isn’t personality—it’s help. Ask for courage, then take a small step: a message, a question, an invite. Dominion includes courage that serves people well.","Holy Spirit, give me courage and one person to encourage today.",Go,Courage Today,"9:16 thumbnail. Text: 'Courage Today'. Background: strong typography + subtle flame icon, modern.",2026-02-10,2026-02-10T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Love Is Your Strategy,daily-devotional,video,2:10,Colossians 3:12-14,"The most powerful influence you can carry is love in action. Kindness and patience create trust—and trust opens doors. Today, choose love deliberately.","Father, clothe me with love—make me steady and compassionate today.",Go,Love Is Power,"9:16 thumbnail. Text: 'Love Is Power'. Background: bold contrast, minimal heart/light icon.",2026-02-11,2026-02-11T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Testimony: One Invite Changed Everything,testimony,video,3:00,Mark 2:1-5,"One invite. One moment. One life opened. This story proves that small obedience can create big outcomes. If you’ve been hesitating, let faith rise for one step.","Jesus, use my small steps to create moments of grace for others.",Go,One Invite,"9:16 thumbnail. Text: 'One Invite'. Background: open door icon, modern, hopeful.",2026-02-12,2026-02-12T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Generosity Fuels Impact,daily-devotional,video,1:45,2 Corinthians 9:7-8,"Dominion includes freedom from fear around resources. Giving is partnership—helping good work reach real people. Today, choose generosity in a way that feels sincere and sustainable.","Lord, make me joyful and generous—let my giving advance what is good.",Give,Give With Joy,"9:16 thumbnail. Text: 'Give With Joy'. Background: clean coin/heart icon, modern, trustworthy.",2026-02-13,2026-02-13T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
The Gospel in One Minute,daily-devotional,video,1:30,2 Corinthians 5:17-21,"You don’t need perfect words to share hope. Keep it simple: what changed in you, who helped you, and what someone can do next. Dominion includes courage to offer good news with kindness.","Jesus, give me simple words and genuine love as I share hope.",Go,Keep It Simple,"9:16 thumbnail. Text: 'Keep It Simple'. Background: speech bubble icon, clean minimal.",2026-02-14,2026-02-14T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Worship Clip: Lift Jesus Higher,worship,video,1:00,John 12:32,Worship fuels mission and re-centres your heart. Take one minute to lift your focus and pray for the people around you.,"Jesus, be lifted up—draw people toward hope and healing.",Pray,Lift Him Higher,"9:16 thumbnail. Text: 'Lift Him Higher'. Background: stage lights/hand silhouette, modern.",2026-02-15,2026-02-15T05:00:00,scheduled,False,DOMINION,Week 4: Bold Witness & Mission,,,,,,
Consecrated Dominion,daily-devotional,video,2:25,Romans 12:1,"Power without surrender becomes self-led. Dominion with surrender becomes clean, steady, and fruitful. Today is a reset: offer your life again—your choices, your pace, your relationships.","Father, I consecrate my life to You—lead me with purity and purpose.",Pray,Consecrate,"9:16 thumbnail. Text: 'Consecrate'. Background: simple altar/flame icon, minimal, reverent.",2026-02-16,2026-02-16T05:00:00,scheduled,False,DOMINION,Days 29–30: Consecration & Commission,,,,,,
Commissioned Again,daily-devotional,video,2:30,Matthew 28:18-20,"You don’t go alone—you go with authority, presence, and love. Dominion is saying yes again to purpose in everyday life. Today, take your next step and bring someone with you.","Jesus, I say yes—send me, use me, and keep me faithful in Your mission.",Go,Say Yes Again,"9:16 thumbnail. Text: 'Say Yes Again'. Background: bold YES typography, clean modern design.",2026-02-17,2026-02-17T05:00:00,scheduled,False,DOMINION,Days 29–30: Consecration & Commission,,,,,,
